ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1415236567.84127,dbt3,58663,10,sekondquad,psql,,-1,2014-11-06 01:16:07.788171+00,2014-11-06 01:16:07.792135+00,2014-11-06 01:16:07.792135+00,f,COPY part FROM '/home/sekondquad/dbt3/dss/part.tbl' USING DELIMITERS '|';,active,2014-11-06 01:16:07.792138+00
1415236567.84127,dbt3,58664,10,sekondquad,psql,,-1,2014-11-06 01:16:07.788408+00,2014-11-06 01:16:07.793187+00,2014-11-06 01:16:07.793187+00,f,COPY supplier FROM '/home/sekondquad/dbt3/dss/supplier.tbl' USING DELIMITERS '|';,active,2014-11-06 01:16:07.79319+00
1415236567.84127,dbt3,58695,10,sekondquad,psql,,-1,2014-11-06 01:16:07.83789+00,2014-11-06 01:16:07.841415+00,2014-11-06 01:16:07.841415+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:16:07.841419+00
1415236567.84127,dbt3,58666,10,sekondquad,psql,,-1,2014-11-06 01:16:07.788805+00,2014-11-06 01:16:07.793327+00,2014-11-06 01:16:07.793327+00,f,COPY partsupp FROM '/home/sekondquad/dbt3/dss/partsupp.tbl' USING DELIMITERS '|';,active,2014-11-06 01:16:07.793331+00
1415236567.84127,dbt3,58668,10,sekondquad,psql,,-1,2014-11-06 01:16:07.789484+00,2014-11-06 01:16:07.793421+00,2014-11-06 01:16:07.793421+00,f,COPY customer FROM '/home/sekondquad/dbt3/dss/customer.tbl' USING DELIMITERS '|';,active,2014-11-06 01:16:07.793427+00
1415236567.84127,dbt3,58669,10,sekondquad,psql,,-1,2014-11-06 01:16:07.789479+00,2014-11-06 01:16:07.793553+00,2014-11-06 01:16:07.793553+00,f,COPY lineitem FROM '/home/sekondquad/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-06 01:16:07.793559+00
1415236567.84127,dbt3,58696,10,sekondquad,psql,,-1,2014-11-06 01:16:07.838015+00,2014-11-06 01:16:07.841043+00,2014-11-06 01:16:07.841043+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:16:07.841048+00
1415236567.84127,dbt3,58697,10,sekondquad,psql,,-1,2014-11-06 01:16:07.838147+00,2014-11-06 01:16:07.841266+00,2014-11-06 01:16:07.841266+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:16:07.841271+00
1415236567.84127,dbt3,58667,10,sekondquad,psql,,-1,2014-11-06 01:16:07.79104+00,2014-11-06 01:16:07.794079+00,2014-11-06 01:16:07.794079+00,f,COPY orders FROM '/home/sekondquad/dbt3/dss/orders.tbl' USING DELIMITERS '|';,active,2014-11-06 01:16:07.794082+00
1415236567.84127,dbt3,58698,10,sekondquad,psql,,-1,2014-11-06 01:16:07.838335+00,2014-11-06 01:16:07.841607+00,2014-11-06 01:16:07.841607+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:16:07.841615+00
1415236567.84127,dbt3,58699,10,sekondquad,psql,,-1,2014-11-06 01:16:07.838728+00,2014-11-06 01:16:07.841358+00,2014-11-06 01:16:07.841358+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:16:07.841366+00
