ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415236567.84104,template1,0,0,0,0,0,0,0,0,0,0
1415236567.84104,template0,0,0,0,0,0,0,0,0,0,0
1415236567.84104,postgres,0,780,6,7029,33585,260188,15460,0,0,0
1415236567.84104,dbt3,11,30604,0,1318812914,7102462367,101003751141,15947281962,530507479,5146,9159141
1415236627.84469,template1,0,0,0,0,0,0,0,0,0,0
1415236627.84469,template0,0,0,0,0,0,0,0,0,0,0
1415236627.84469,postgres,0,782,6,7029,33640,260850,15471,0,0,0
1415236627.84469,dbt3,14,30666,0,1319543690,7104343753,101039160202,15947287489,557107646,5188,9159145
1415236687.85393,template1,0,0,0,0,0,0,0,0,0,0
1415236687.85393,template0,0,0,0,0,0,0,0,0,0,0
1415236687.85393,postgres,0,784,6,7029,33695,261512,15482,0,0,0
1415236687.85393,dbt3,6,30694,0,1319808037,7105550786,101107168053,15947291794,557107787,5217,9159147
1415236747.85499,template1,0,0,0,0,0,0,0,0,0,0
1415236747.85499,template0,0,0,0,0,0,0,0,0,0,0
1415236747.85499,postgres,0,786,6,7029,33750,262174,15493,0,0,0
1415236747.85499,dbt3,7,30713,0,1319808043,7105596307,101109174252,15947294386,557107795,5241,9159147
1415236807.85726,template1,0,0,0,0,0,0,0,0,0,0
1415236807.85726,template0,0,0,0,0,0,0,0,0,0,0
1415236807.85726,postgres,0,788,6,7029,33805,262836,15504,0,0,0
1415236807.85726,dbt3,5,30727,0,1319808043,7105640722,101109179897,15947296194,557107827,5241,9159147
1415236867.86339,template1,0,0,0,0,0,0,0,0,0,0
1415236867.86339,template0,0,0,0,0,0,0,0,0,0,0
1415236867.86339,postgres,0,790,6,7029,33860,263498,15515,0,0,0
1415236867.86339,dbt3,6,30738,0,1319808043,7105643537,101109184261,15947297357,557107827,5241,9159147
1415236927.86259,template1,0,0,0,0,0,0,0,0,0,0
1415236927.86259,template0,0,0,0,0,0,0,0,0,0,0
1415236927.86259,postgres,0,792,6,7029,33915,264160,15526,0,0,0
1415236927.86259,dbt3,13,30761,0,1320873723,7107954776,101109189251,15947298820,617093879,5241,9159147
1415236987.87073,template1,0,0,0,0,0,0,0,0,0,0
1415236987.87073,template0,0,0,0,0,0,0,0,0,0,0
1415236987.87073,postgres,0,794,6,7029,33970,264822,15537,0,0,0
1415236987.87073,dbt3,9,30779,0,1321951207,7109012185,101229167119,15947300737,617093891,5241,9159147
1415237047.86947,template1,0,0,0,0,0,0,0,0,0,0
1415237047.86947,template0,0,0,0,0,0,0,0,0,0,0
1415237047.86947,postgres,0,796,6,7029,34025,265484,15548,0,0,0
1415237047.86947,dbt3,9,30791,0,1324077051,7109020065,101349143750,15947302038,617093899,5243,9159147
1415237107.87813,template1,0,0,0,0,0,0,0,0,0,0
1415237107.87813,template0,0,0,0,0,0,0,0,0,0,0
1415237107.87813,postgres,0,798,6,7029,34080,266146,15559,0,0,0
1415237107.87813,dbt3,10,30806,0,1324077051,7109023233,101349148679,15947303408,617093899,5243,9159147
1415237167.8819,template1,0,0,0,0,0,0,0,0,0,0
1415237167.8819,template0,0,0,0,0,0,0,0,0,0,0
1415237167.8819,postgres,0,800,6,7029,34135,266808,15570,0,0,0
1415237167.8819,dbt3,7,30823,0,1327120509,7109179830,101529112302,15947305309,617093917,5243,9159147
1415237227.89108,template1,0,0,0,0,0,0,0,0,0,0
1415237227.89108,template0,0,0,0,0,0,0,0,0,0,0
1415237227.89108,postgres,0,802,6,7029,34190,267470,15581,0,0,0
1415237227.89108,dbt3,5,30839,0,1327120509,7109183501,101529117866,15947306952,617093917,5243,9159147
1415237287.88622,template1,0,0,0,0,0,0,0,0,0,0
1415237287.88622,template0,0,0,0,0,0,0,0,0,0,0
1415237287.88622,postgres,0,804,6,7029,34245,268132,15592,0,0,0
1415237287.88622,dbt3,6,30850,0,1327120509,7109186139,101529122220,15947308034,617093917,5243,9159147
1415237347.89364,template1,0,0,0,0,0,0,0,0,0,0
1415237347.89364,template0,0,0,0,0,0,0,0,0,0,0
1415237347.89364,postgres,0,806,6,7029,34300,268794,15603,0,0,0
1415237347.89364,dbt3,6,30867,0,1328008630,7109367210,101589114040,15947309877,617093925,5243,9159147
