Linux 3.11.0-17-generic (axle) 	06/11/14 	_x86_64_	(64 CPU)

01:15:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:16:58        all      8.98      0.00      1.03      0.17      0.00     89.82
01:17:58        all      6.83      0.00      0.60      0.13      0.00     92.44
01:18:58        all      4.68      0.00      0.41      0.18      0.00     94.72
01:19:58        all      3.54      0.00      0.31      0.10      0.00     96.05
01:20:58        all      3.14      0.00      0.31      0.04      0.00     96.51
01:21:58        all      3.86      0.00      0.43      0.10      0.00     95.61
01:22:58        all      3.12      0.00      0.44      0.28      0.00     96.16
01:23:58        all      3.31      0.00      0.31      0.04      0.00     96.33
01:24:58        all      8.16      0.00      1.42      0.03      0.00     90.38
01:25:58        all      7.04      0.00      0.57      0.21      0.00     92.18
01:26:58        all      4.75      0.00      0.18      0.01      0.00     95.05
01:27:58        all      4.76      0.00      0.17      0.01      0.00     95.06
01:28:58        all      4.58      0.00      0.29      0.07      0.00     95.07
