ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1415237395.41459,dbt3,59179,10,sekondquad,psql,,-1,2014-11-06 01:29:55.410989+00,2014-11-06 01:29:55.414587+00,2014-11-06 01:29:55.414587+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:29:55.414593+00
1415237395.41459,dbt3,59180,10,sekondquad,psql,,-1,2014-11-06 01:29:55.41264+00,2014-11-06 01:29:55.416247+00,2014-11-06 01:29:55.416247+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:29:55.416251+00
1415237395.41459,dbt3,59181,10,sekondquad,psql,,-1,2014-11-06 01:29:55.412695+00,2014-11-06 01:29:55.416148+00,2014-11-06 01:29:55.416148+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:29:55.416153+00
1415237395.41459,dbt3,59182,10,sekondquad,psql,,-1,2014-11-06 01:29:55.412911+00,2014-11-06 01:29:55.416415+00,2014-11-06 01:29:55.416415+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-06 01:29:55.41642+00
1415237455.41848,dbt3,59224,10,sekondquad,psql,,-1,2014-11-06 01:30:23.988223+00,2014-11-06 01:30:23.991513+00,2014-11-06 01:30:23.991988+00,f,"EXPLAIN (ANALYZE, BUFFERS)
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%blue%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;",active,2014-11-06 01:30:23.991996+00
1415237455.41848,dbt3,59234,10,sekondquad,psql,,-1,2014-11-06 01:30:55.414347+00,2014-11-06 01:30:55.418183+00,2014-11-06 01:30:55.418183+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:30:55.418191+00
1415237455.41848,dbt3,59235,10,sekondquad,psql,,-1,2014-11-06 01:30:55.414551+00,2014-11-06 01:30:55.418396+00,2014-11-06 01:30:55.418396+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:30:55.418401+00
1415237455.41848,dbt3,59236,10,sekondquad,psql,,-1,2014-11-06 01:30:55.415007+00,2014-11-06 01:30:55.418482+00,2014-11-06 01:30:55.418482+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:30:55.418491+00
1415237455.41848,dbt3,59237,10,sekondquad,psql,,-1,2014-11-06 01:30:55.415383+00,2014-11-06 01:30:55.418815+00,2014-11-06 01:30:55.418815+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:30:55.418819+00
1415237455.41848,dbt3,59238,10,sekondquad,psql,,-1,2014-11-06 01:30:55.416461+00,2014-11-06 01:30:55.420004+00,2014-11-06 01:30:55.420004+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:30:55.420008+00
1415237515.4211,dbt3,59224,10,sekondquad,psql,,-1,2014-11-06 01:30:23.988223+00,2014-11-06 01:30:23.991513+00,2014-11-06 01:30:23.991988+00,f,"EXPLAIN (ANALYZE, BUFFERS)
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%blue%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;",active,2014-11-06 01:30:23.991996+00
1415237515.4211,dbt3,59251,10,sekondquad,psql,,-1,2014-11-06 01:31:55.416835+00,2014-11-06 01:31:55.4207+00,2014-11-06 01:31:55.4207+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:31:55.420708+00
1415237515.4211,dbt3,59252,10,sekondquad,psql,,-1,2014-11-06 01:31:55.417274+00,2014-11-06 01:31:55.421104+00,2014-11-06 01:31:55.421104+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:31:55.421111+00
1415237515.4211,dbt3,59253,10,sekondquad,psql,,-1,2014-11-06 01:31:55.417299+00,2014-11-06 01:31:55.421414+00,2014-11-06 01:31:55.421414+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:31:55.421419+00
1415237515.4211,dbt3,59254,10,sekondquad,psql,,-1,2014-11-06 01:31:55.417721+00,2014-11-06 01:31:55.421399+00,2014-11-06 01:31:55.421399+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:31:55.421407+00
1415237515.4211,dbt3,59250,10,sekondquad,psql,,-1,2014-11-06 01:31:55.41662+00,2014-11-06 01:31:55.422093+00,2014-11-06 01:31:55.422093+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2014-11-06 01:31:55.422097+00
1415237575.42546,dbt3,59297,10,sekondquad,psql,,-1,2014-11-06 01:32:30.501683+00,2014-11-06 01:32:30.504794+00,2014-11-06 01:32:30.505261+00,f,"EXPLAIN (ANALYZE, BUFFERS)
select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from
	customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from
			lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 313
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate
LIMIT 100;",active,2014-11-06 01:32:30.505267+00
