# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415222393;sdb;214.95;9612.80;39343.73;227.76;0.09;0.43;0.07;1.53
axle;60;1415222393;sda;3.13;0.00;347.60;110.94;0.00;0.06;0.02;0.01
axle;60;1415222453;sdb;269.10;9476.27;9156.53;69.24;0.65;2.41;0.09;2.44
axle;60;1415222453;sda;1.40;0.00;22.53;16.10;0.00;0.00;0.00;0.00
axle;60;1415222513;sdb;1449.73;9024.27;33318.93;29.21;3.15;2.18;0.03;3.98
axle;60;1415222513;sda;1.38;0.00;24.67;17.83;0.00;0.00;0.00;0.00
axle;60;1415222573;sdb;132.05;9113.60;8737.60;135.19;0.12;0.88;0.08;1.04
axle;60;1415222573;sda;0.98;0.00;17.47;17.76;0.00;0.00;0.00;0.00
axle;60;1415222633;sdb;169.67;9314.13;46821.33;330.86;0.68;3.99;0.15;2.60
axle;60;1415222633;sda;1.45;0.00;22.13;15.26;0.00;1.47;0.09;0.01
axle;60;1415222693;sdb;145.77;9642.67;10349.33;137.15;0.10;0.70;0.08;1.23
axle;60;1415222693;sda;1.25;0.00;20.80;16.64;0.00;0.00;0.00;0.00
axle;60;1415222753;sdb;137.67;8746.80;9243.73;130.68;0.13;0.98;0.08;1.09
axle;60;1415222753;sda;1.63;0.00;29.60;18.12;0.00;0.00;0.00;0.00
axle;60;1415222813;sdb;96.68;8243.20;5760.93;144.85;0.03;0.29;0.07;0.68
axle;60;1415222813;sda;1.53;0.00;23.33;15.22;0.00;0.00;0.00;0.00
axle;60;1415222873;sdb;104.90;8051.20;6676.27;140.40;0.02;0.23;0.05;0.57
axle;60;1415222873;sda;1.25;0.00;22.27;17.81;0.00;0.00;0.00;0.00
axle;60;1415222933;sdb;120.85;8213.33;8055.07;134.62;0.02;0.21;0.04;0.53
axle;60;1415222933;sda;1.40;0.00;20.00;14.29;0.00;0.05;0.05;0.01
axle;60;1415222993;sdb;108.97;8217.87;6820.53;138.01;0.08;0.77;0.06;0.67
axle;60;1415222993;sda;1.32;0.00;23.73;18.03;0.00;0.00;0.00;0.00
axle;60;1415223053;sdb;106.65;8110.93;6752.53;139.37;0.03;0.25;0.06;0.59
axle;60;1415223053;sda;1.53;0.00;25.87;16.87;0.00;0.00;0.00;0.00
axle;14342;1415237395;sdb;526.99;7938.45;51529.28;112.84;2.02;3.83;0.06;3.34
axle;14342;1415237395;sda;23.48;417.43;470.77;37.83;0.24;10.42;0.53;1.24
axle;60;1415237455;sdb;139.87;8584.53;34478.80;307.89;0.08;0.58;0.08;1.15
axle;60;1415237455;sda;2.57;0.40;342.13;133.45;0.00;0.55;0.16;0.04
axle;60;1415237515;sdb;490.23;8170.80;14640.67;46.53;1.61;3.29;0.04;1.95
axle;60;1415237515;sda;1.23;0.00;18.67;15.14;0.00;0.05;0.05;0.01
axle;60;1415237575;sdb;1270.04;8830.53;31065.09;31.41;2.66;2.10;0.03;3.27
axle;60;1415237575;sda;1.53;0.00;26.93;17.57;0.00;0.00;0.00;0.00
axle;60;1415237635;sdb;93.07;9405.30;6959.03;175.84;0.03;0.28;0.09;0.82
axle;60;1415237635;sda;1.05;0.00;17.74;16.89;0.00;0.00;0.00;0.00
axle;60;1415237695;sdb;174.54;8668.42;49530.81;333.45;0.32;1.85;0.09;1.55
axle;60;1415237695;sda;1.17;0.00;20.00;17.14;0.00;0.00;0.00;0.00
axle;60;1415237755;sdb;93.28;8870.53;9351.33;195.34;0.04;0.38;0.10;0.92
axle;60;1415237755;sda;1.85;0.00;32.53;17.59;0.00;0.04;0.04;0.01
axle;60;1415237815;sdb;91.98;8750.93;7776.27;179.68;0.03;0.31;0.10;0.89
axle;60;1415237815;sda;1.18;0.00;21.60;18.25;0.00;0.06;0.06;0.01
axle;60;1415237875;sdb;86.15;8840.53;6546.67;178.61;0.02;0.28;0.09;0.75
axle;60;1415237875;sda;1.43;0.00;23.47;16.37;0.00;0.00;0.00;0.00
axle;60;1415237935;sdb;100.87;8972.80;8674.27;174.95;0.03;0.31;0.08;0.79
axle;60;1415237935;sda;1.38;0.00;23.20;16.77;0.00;0.05;0.05;0.01
axle;60;1415237995;sdb;97.08;8746.80;8511.73;177.77;0.04;0.40;0.12;1.17
axle;60;1415237995;sda;1.32;0.00;23.47;17.82;0.00;0.00;0.00;0.00
axle;60;1415238055;sdb;95.72;8759.47;8479.73;180.11;0.03;0.29;0.08;0.80
axle;60;1415238055;sda;1.93;0.00;32.13;16.62;0.00;0.00;0.00;0.00
axle;60;1415238115;sdb;94.30;8840.53;7881.33;177.33;0.02;0.26;0.08;0.78
axle;60;1415238115;sda;1.15;0.00;20.93;18.20;0.00;0.00;0.00;0.00
