Linux 3.11.0-17-generic (axle) 	06/11/14 	_x86_64_	(64 CPU)

01:42:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:43:52        all     20.43      0.00      3.78      0.44      0.00     75.35
01:44:52        all     21.19      0.00      3.53      0.12      0.00     75.16
01:45:52        all     20.57      0.00      4.10      0.11      0.00     75.22
01:46:52        all     20.74      0.00      3.97      0.05      0.00     75.25
01:47:52        all     21.35      0.00      3.38      0.05      0.00     75.23
01:48:52        all     22.09      0.00      2.76      0.01      0.00     75.13
01:49:52        all     21.34      0.00      3.57      0.02      0.00     75.07
01:50:52        all     21.16      0.00      3.68      0.00      0.00     75.16
01:51:52        all     21.65      0.00      3.33      0.03      0.00     74.99
01:52:52        all     21.65      0.00      3.18      0.05      0.00     75.11
01:53:52        all     21.61      0.00      3.14      0.02      0.00     75.23
01:54:52        all     22.47      0.00      2.51      0.03      0.00     74.99
01:55:52        all     22.15      0.00      2.86      0.01      0.00     74.98
01:56:52        all     21.60      0.00      3.22      0.03      0.00     75.15
01:57:52        all     21.35      0.00      3.34      0.04      0.00     75.27
01:58:52        all     22.06      0.00      2.74      0.07      0.00     75.13
01:59:52        all     20.98      0.00      3.77      0.10      0.00     75.15
02:00:52        all     21.82      0.02      3.28      0.43      0.00     74.44
02:01:52        all     21.48      0.00      3.42      0.05      0.00     75.04
02:02:52        all     20.74      0.00      4.02      0.12      0.00     75.12
02:03:52        all     15.51      0.00      3.03      0.00      0.00     81.46
